Name,info,look,access
adoreithien gate,"You finally arrive at the gate. You stare up, and your eyes peer at the top of the towering gate. You feel exicited to finally be here. You arrived at the gigantic gold gate, leading inside Adoreithien, capital of Galoroid. ","You stare up, and the gate seems to be as large as an entire mountain. Though you remember this is what happens when you have over 200,000 years of building. You look to your sides, and your mouth drops when you realize that the walls go on forever. This city, for all it is truely deserves the title of capital. ","east_edverd's road west, gate_edverd's road adoreithien"
adoreithien city gate,You see a large gold gate in front of you. This one is smaller than the one you saw earlier. You know this is the gate into Adoreithien City,none,"south_edverd's road adoreithien, gate_adoreithien center"
adoreithien center,You arrive at the center of Adoreithien. ,none,"outside_adoreithien city gate, keep_adoreithien keep"
adoreithien castle,"You gaze in front of you to see the grand hall, and sitting on his gold throne, the King.",none,outside_adoreithien center
adoreithien keep,You arrive at the keep of Adoreithien.,none,"outside_adoreithien keep, inside_adoreithien castle"
ruins,You exit through the Ancient Forest and stumble upon what appears to be ancient ruins. As you walk through them you daydream about the time before the Fourteenth Era. ,"The ruins are shaped in a pillar formation, with a a large stone wall in the very center. You walk up the shattered moss filled steps. The engravings on the pillars seems to show ten powerfull men in armour fighting what could only be beasts of long forgotten legend. You turn around and walk towards the stone wall. Something about it seems... off. The stone seems to predate any known material you have ever seen. You walk towards the other side. Suddenly you see it. An ancient text embedded on the wall.",north_forest_south
prison,"You finally enter the great prison. Inside, all there is is ",none,"outside_prison outside, cells_prison room"
forest east,You are in a forest,east,"south_forest south, west_edverd's road east, east_portal"
forest south,You are in a forest,south,"south_ruins, north_forest_east"
forest west,You are in a forest,west,"east_commoner's path, west_tower outside"
tower,"You are in Daragasm, the Forbidden Tower",none,"stairs_tower top, outside_tower outside, door_outside"
library,You are in the grand Library.,none,"outside_library outside, inside_library forbidden"
library outside,"You stand, in front of the Grand Library of Konorim ",none,"north_philosopher's road, gate_library, inside_library"
library forbidden,"You see stacks of books, binded with locks as large as your hands. Behind you are stairs leading up, to the main hall. ",none,stairs_library
portal,"You run out of the forest. Then you see it: A towering portal as large as Daraghasm, the Forbidden Tower. It seems more ancient than anything you have ever gazed upon, almost withered away through the eons. ","You walk closer to its gigantic ring like structure. The stone has completely fallen apart. All that remains on the ground is pools of ash. What remains is a giant ring as wide as an entire house. You ponder if anyone has ever discoveed such a thing. They must have... Galaroid's recorded history dates back over a million years. But could this be as old, if not older than that? You then realize where you are. You look up, and you see the towering mountains of Antradiluvian. You can just imagine that these peaks rise so high that they touch the other realms beyond. Legend has it Antradiluvian was here even before the Eon of Known. Could it be? The portal was from the same time? A time we have long forgotten?",west_forest east
prison room,You walk through the desolate cells. You see your father in one of them. ,none,exit_prison
tower outside,You gaze at the gigantic tower before you. ,none,"east_forest west, gate_tower, door_tower, inside_tower"
town,You are at the small town of Delan.,"You look around. You see Yorla's traven up ahead, the place where you earn your living. ","west_crossroad1, south_edverd's road mid, traven_traven, inside_traven"
prison outside,You gaze upon the towering black structure in front of you. You instantly realize that you are at Maghakroom. You can see a large gate which appears to be heavily guarded my dozens of men. ,"The prison towers above you. The black stone bricks that make up the structure have become forzen over the thousands of years it has stood standing. The Magakhram mountains sorround the prison like an extra wall. Unlike the other mountains around Galoroid, the Magakhram mountains are covered in a thick pallet of snow and ice. You now truely understand why no one dares climb these legendary mountains. ","gate_prison, inside_prison, prison_prison, south_traitor's road"
lake,"You are stnading beside the beautiful lake, Esriena's Tear",none,south_lakeside
lakeside,"You are standing on a plain field, in front of a lake a hundred feet away. ","The air is chilly as it blows through your skinny body. You feel an eiery presence unlike none other. You stand still, gazing at the blue lake up ahead. On the other side you see the Ancient Forest, and what appears to be dozens of miles ahead, you see the Iolo mountains  towering over the tall spruce trees.  You stare down at the ground. It appears to be quite wet, even though it hasn't rained in several weeks. ","lake_lake, south_frontyard"
tower top,"You stand, gazing at the large bars showing the ancient forest ahead of you. ",none,door_tower
warlord shrine,you are at the warlord shrine.,"You walk through the gigantic temple doors. Or what remained of them atleast. The roof has collapsed, leaving an open sky to see. The sun's light blinds your eyes as you stare at it. You fear the idea that Solera, Goddess of the Sun must dislike you. You look around and gaze at the unidentifiable runes and glyphs scoured across the walls. Many of them depicting beasts of legend such as dragons, Golems, Death Worms, Rocs, Basalisks, or even the Dullahan. You realize that this temple must be atleast from the Fifth Era. ",north_desert
desert,The air is dry as the ground beneath your sore feet. You've been walking for days on end through the never ending desert of Zanat. ,"You're legs have become tired after walking for so long. You wish to take a break, to rest. But you know what should hopefully lie ahead. All that you can see, for miles and miles ahead is cracked mud and desolate sands devoid of any life. The sun's shining even more now as you gaze up at the empty sky. ","south_warlord shrine, field"
field,"As you walk across the Kerinor Fields, you feel a light breeze upon your aching back. You look around you, and all that you can see is open plains devoid of any animal life. ","You've been walking for many hours now. The green ground beneath you is still as ever. You've read about this place in many books. The Battle of Largaghast being one of them. Every step you take, you gaze at what could have been warriors of old running into their deaths. You stare at the ground, and you can just imagine the mighty stomps of the Towering rhinos charging and splattering herds of men. Then you remember, that now all that is left is a barren field of little grass. ",north_edverd's road mid south_desert
traven,"You stand inside Yorla's Traven. The air is quite dry here, and you feel annoyed by the constant chattering. ","You look around. You stare at the hideous Golmek twins sitting on the corner. You notice there are quite a few men at the bar, presumably sitting there to get close to Yorla. ",outside_town
philosopher's road,The road to the Library seems elegant. The golden statues of the most reputable members of the Order of Undying Wisdom guards the sacret library entrance. ,,"south_library outside, north_edverd's road adoreithien"
crossroad1,"After a long, long walk you reach a cross road. You stare up ahead at the forest blocking the west side. ","You stare towards the north. There, you can just faintly see a small speck in the horizon. You instantly recognize this as your humble abode. Though, it is several miles of walking through Commoner's path. To the east, you can see Delan, which seems to be just under half a mile of a walk. Shouldn't take you too long to reach there. Staring at the south side, you see a much larger road, large enough to fit two or maybe even three carriages at a single time. You notice there is a large sign above your head. ","south_traveler's road, north_commoner's path, east_town"
